Metric,Original,Sampled,Difference
Number of nodes,500.0,62.0,438.0
Number of edges,700.0,53.0,647.0
Average node degree,2.8,1.7096774193548387,1.090322580645161
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.010818971275885103,0.013185263528997005,0.002366292253111902
Average closeness centrality,0.14196666686865936,0.058937115807007806,0.08302955106165155
Average degree centrality,0.0056112224448897794,0.028027498677948178,0.022416276233058398
Average eigenvector centrality,0.02794303625376141,0.0667198165054065,0.03877678025164509
Density,0.0056112224448897794,0.028027498677948175,0.022416276233058394
