Metric,Original,Sampled,Difference
Number of nodes,500.0,6.0,494.0
Number of edges,700.0,3.0,697.0
Average node degree,2.8,1.0,1.7999999999999998
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.01123511279587287,0.0,0.01123511279587287
Average closeness centrality,0.13906582438179896,0.19999999999999998,0.060934175618201025
Average degree centrality,0.005611222444889779,0.19999999999999998,0.1943887775551102
Average eigenvector centrality,0.033649710003751394,0.4082482904638631,0.3745985804601117
Density,0.0056112224448897794,0.2,0.19438877755511022
