Metric,Original,Sampled,Difference
Number of nodes,30.0,24.0,6.0
Number of edges,50.0,25.0,25.0
Average node degree,3.3333333333333335,2.0833333333333335,1.25
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.06822660098522167,0.08712121212121211,0.018894611135990447
Average closeness centrality,0.3491550895165296,0.26794448978981145,0.08121059972671818
Average degree centrality,0.11494252873563217,0.09057971014492754,0.024362818590704632
Average eigenvector centrality,0.16725610973893418,0.15956660248365354,0.007689507255280642
Density,0.11494252873563218,0.09057971014492754,0.024362818590704646
