Metric,Original,Sampled,Difference
Number of nodes,2000.0,387.0,1613.0
Number of edges,2600.0,354.0,2246.0
Average node degree,2.6,1.8294573643410852,0.7705426356589149
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.003989861547390312,6.586443506554363e-05,0.003923997112324768
Average closeness centrality,0.10967002244900592,0.016855363401019258,0.09281465904798666
Average degree centrality,0.0013006503251625809,0.004739526850624573,0.0034388765254619925
Average eigenvector centrality,0.0030070714914498236,0.009591393517321235,0.006584322025871411
Density,0.0013006503251625813,0.004739526850624573,0.003438876525461992
