Metric,Original,Sampled,Difference
Number of nodes,2000.0,243.0,1757.0
Number of edges,2600.0,216.0,2384.0
Average node degree,2.6,1.7777777777777777,0.8222222222222224
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.003989861547390312,0.00015071711286975965,0.003839144434520552
Average closeness centrality,0.10967002244900592,0.024663126395755092,0.08500689605325083
Average degree centrality,0.0013006503251625809,0.007346189164370982,0.0060455388392084
Average eigenvector centrality,0.0030070714914498236,0.014195402734861877,0.011188331243412054
Density,0.0013006503251625813,0.0073461891643709825,0.006045538839208401
