Metric,Original,Sampled,Difference
Number of nodes,30.0,28.0,2.0
Number of edges,50.0,35.0,15.0
Average node degree,3.3333333333333335,2.5,0.8333333333333335
Average clustering coefficient,0.0,0.0,0.0
Average path length,2.910344827586207,3.3306878306878307,0.42034300310162376
Average betweenness centrality,0.06822660098522167,0.08964183964183965,0.021415238656617985
Average closeness centrality,0.3491550895165296,0.31020035838480664,0.038954731131722986
Average degree centrality,0.11494252873563217,0.09259259259259259,0.02234993614303958
Average eigenvector centrality,0.16725610973893418,0.15954244712638604,0.007713662612548133
Density,0.11494252873563218,0.09259259259259259,0.022349936143039595
