Metric,Original,Sampled,Difference
Number of nodes,30.0,29.0,1.0
Number of edges,50.0,45.0,5.0
Average node degree,3.3333333333333335,3.103448275862069,0.22988505747126453
Average clustering coefficient,0.0,0.0,0.0
Average path length,2.910344827586207,2.955665024630542,0.045320197044334876
Average betweenness centrality,0.06822660098522167,0.07243203794927933,0.00420543696405766
Average closeness centrality,0.3491550895165296,0.3447521341712352,0.004402955345294446
Average degree centrality,0.11494252873563217,0.11083743842364531,0.004105090311986859
Average eigenvector centrality,0.16725610973893418,0.16730327549843063,4.716575949645363e-05
Density,0.11494252873563218,0.11083743842364532,0.004105090311986859
